,id,cliente_id,direccion_adicional_id,tipo_falla,descripcion,estado,created_at,updated_at
24,25,9,9,hardware,"El cliente no puede acceder a una o varias páginas web o servicios en línea, mientras que otros funcionan con normalidad.",resuelto,2023-01-10 07:11:00,2023-01-10 08:21:00
25,26,24,24,software,"Los usuarios no pueden acceder a sitios web por nombre de dominio, pero sí por dirección IP.",resuelto,2023-01-11 09:39:00,2023-01-11 12:36:00
26,27,55,55,otro,La conexión a internet se pierde y se recupera repetidamente en intervalos cortos. El LED de internet del router parpadea constantemente o cambia de estado.,resuelto,2023-01-08 08:19:00,2023-01-08 13:51:00
27,28,57,57,software,El router no recibe energía debido a un adaptador defectuoso o toma de corriente fallida.,resuelto,2023-01-13 04:26:00,2023-01-13 07:46:00
28,29,53,53,hardware,"El cliente no puede acceder a una o varias páginas web o servicios en línea, mientras que otros funcionan con normalidad.",resuelto,2023-01-09 18:19:00,2023-01-09 18:53:00
29,30,32,32,otro,"Los usuarios no pueden acceder a sitios web por nombre de dominio, pero sí por dirección IP.",resuelto,2023-01-10 16:53:00,2023-01-10 21:16:00
30,31,18,18,software,"Muchos dispositivos conectados simultáneamente en el domicilio del cliente, agotando el ancho de banda disponible.",resuelto,2023-01-08 03:48:00,2023-01-08 06:58:00
31,32,28,28,hardware,Interrupción del servicio debido a trabajos de mantenimiento planificados en la red.,resuelto,2023-01-14 02:21:00,2023-01-14 03:11:00
32,33,67,67,conectividad,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-01-10 20:37:00,2023-01-10 23:06:00
33,34,50,50,software,"Muchos dispositivos conectados simultáneamente en el domicilio del cliente, agotando el ancho de banda disponible.",resuelto,2023-01-09 04:25:00,2023-01-09 07:27:00
34,35,20,20,conectividad,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-01-14 16:22:00,2023-01-14 17:54:00
35,36,20,20,otro,La conexión a internet se pierde y se recupera repetidamente en intervalos cortos. El LED de internet del router parpadea constantemente o cambia de estado.,resuelto,2023-01-13 11:44:00,2023-01-13 15:46:00
36,37,9,9,conectividad,El router no logra obtener una dirección IP o autenticarse con la red del proveedor.,resuelto,2023-01-14 13:28:00,2023-01-14 13:38:00
37,38,10,10,software,El cliente no tiene acceso a internet no hay luz en el router o el LED de internet está apagado. No se detecta señal en el ONT/Módem.,resuelto,2023-01-17 17:20:00,2023-01-17 18:42:00
38,39,52,52,conectividad,"El cableado interno (Ethernet, coaxial, fibra) en el domicilio del cliente está visiblemente dañado o desconectado.",resuelto,2023-01-16 01:53:00,2023-01-16 05:13:00
39,40,8,8,software,Los dispositivos no pueden conectarse a la red Wi-Fi o la señal es muy débil en ciertas áreas.,resuelto,2023-01-15 21:53:00,2023-01-16 00:24:00
40,41,62,62,hardware,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-01-19 03:21:00,2023-01-19 05:14:00
41,42,58,58,software,"El tiempo de respuesta (ping) a los servidores es muy alto, causando retraso en juegos en línea o videollamadas.",resuelto,2023-01-16 01:23:00,2023-01-16 04:44:00
42,43,18,18,software,"El cliente ha modificado accidentalmente la configuración del router o del dispositivo, impidiendo la conexión.",resuelto,2023-01-15 15:04:00,2023-01-15 18:04:00
43,44,64,64,conectividad,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-01-21 10:37:00,2023-01-21 11:08:00
44,45,67,67,conectividad,La conexión a internet se pierde y se recupera repetidamente en intervalos cortos. El LED de internet del router parpadea constantemente o cambia de estado.,resuelto,2023-01-18 00:45:00,2023-01-18 06:24:00
45,46,16,16,otro,El router no logra obtener una dirección IP o autenticarse con la red del proveedor.,resuelto,2023-01-21 19:13:00,2023-01-21 22:30:00
46,47,52,52,conectividad,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-01-15 18:52:00,2023-01-15 23:34:00
47,48,37,37,conectividad,"Muchos dispositivos conectados simultáneamente en el domicilio del cliente, agotando el ancho de banda disponible.",resuelto,2023-01-17 06:20:00,2023-01-17 10:49:00
48,49,20,20,otro,"El tiempo de respuesta (ping) a los servidores es muy alto, causando retraso en juegos en línea o videollamadas.",resuelto,2023-01-17 03:33:00,2023-01-17 08:36:00
49,50,33,33,otro,El cliente no tiene acceso a internet no hay luz en el router o el LED de internet está apagado. No se detecta señal en el ONT/Módem.,resuelto,2023-01-25 12:24:00,2023-01-25 12:46:00
50,51,55,55,conectividad,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-01-25 03:22:00,2023-01-25 08:24:00
51,52,56,56,otro,El servidor al que se conecta el cliente está experimentando alta demanda o problemas técnicos.,resuelto,2023-01-26 12:08:00,2023-01-26 17:34:00
52,53,31,31,hardware,El cliente no tiene acceso a internet no hay luz en el router o el LED de internet está apagado. No se detecta señal en el ONT/Módem.,resuelto,2023-01-28 20:48:00,2023-01-28 22:39:00
53,54,8,8,software,El servidor al que se conecta el cliente está experimentando alta demanda o problemas técnicos.,resuelto,2023-01-26 15:08:00,2023-01-26 20:09:00
54,55,18,18,otro,"Los usuarios no pueden acceder a sitios web por nombre de dominio, pero sí por dirección IP.",resuelto,2023-01-24 10:56:00,2023-01-24 15:46:00
55,56,32,32,conectividad,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-01-28 15:16:00,2023-01-28 18:14:00
56,57,62,62,hardware,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-01-25 04:20:00,2023-01-25 05:14:00
57,58,28,28,otro,Interrupción del servicio debido a trabajos de mantenimiento planificados en la red.,resuelto,2023-01-24 05:14:00,2023-01-24 07:58:00
58,59,13,13,hardware,"En casas grandes o con muchas paredes, la señal Wi-Fi no llega a todas las habitaciones.",resuelto,2023-01-24 04:47:00,2023-01-24 06:26:00
59,60,56,56,otro,El router no logra obtener una dirección IP o autenticarse con la red del proveedor.,resuelto,2023-01-26 10:20:00,2023-01-26 13:18:00
60,61,4,4,hardware,Los dispositivos no pueden conectarse a la red Wi-Fi o la señal es muy débil en ciertas áreas.,resuelto,2023-01-25 18:43:00,2023-01-25 23:20:00
61,62,35,35,otro,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-02-03 06:15:00,2023-02-03 08:57:00
62,63,11,11,conectividad,El cliente no tiene acceso a internet no hay luz en el router o el LED de internet está apagado. No se detecta señal en el ONT/Módem.,resuelto,2023-02-04 18:12:00,2023-02-05 00:09:00
63,64,29,29,software,"El cliente ha modificado accidentalmente la configuración del router o del dispositivo, impidiendo la conexión.",resuelto,2023-01-29 10:24:00,2023-01-29 10:42:00
64,65,9,9,conectividad,"En casas grandes o con muchas paredes, la señal Wi-Fi no llega a todas las habitaciones.",resuelto,2023-02-01 07:42:00,2023-02-01 09:58:00
65,66,60,60,hardware,"El tiempo de respuesta (ping) a los servidores es muy alto, causando retraso en juegos en línea o videollamadas.",resuelto,2023-01-31 16:47:00,2023-01-31 22:32:00
66,67,32,32,otro,Los dispositivos no pueden conectarse a la red Wi-Fi o la señal es muy débil en ciertas áreas.,resuelto,2023-01-30 01:20:00,2023-01-30 04:08:00
67,68,21,21,otro,"El tiempo de respuesta (ping) a los servidores es muy alto, causando retraso en juegos en línea o videollamadas.",resuelto,2023-01-30 02:52:00,2023-01-30 06:03:00
68,69,14,14,otro,La conexión a internet se pierde y se recupera repetidamente en intervalos cortos. El LED de internet del router parpadea constantemente o cambia de estado.,resuelto,2023-01-29 18:22:00,2023-01-29 21:08:00
69,70,33,33,otro,"El cliente no puede acceder a una o varias páginas web o servicios en línea, mientras que otros funcionan con normalidad.",resuelto,2023-02-02 03:32:00,2023-02-02 07:16:00
70,71,56,56,software,"El cableado interno (Ethernet, coaxial, fibra) en el domicilio del cliente está visiblemente dañado o desconectado.",resuelto,2023-02-04 10:58:00,2023-02-04 14:58:00
71,72,19,19,software,"El cliente ha modificado accidentalmente la configuración del router o del dispositivo, impidiendo la conexión.",resuelto,2023-02-02 16:14:00,2023-02-02 16:46:00
72,73,6,6,software,"En casas grandes o con muchas paredes, la señal Wi-Fi no llega a todas las habitaciones.",resuelto,2023-01-29 20:10:00,2023-01-29 21:33:00
73,74,23,23,software,El cliente no tiene acceso a internet no hay luz en el router o el LED de internet está apagado. No se detecta señal en el ONT/Módem.,resuelto,2023-01-31 07:57:00,2023-01-31 08:59:00
74,75,33,33,hardware,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-02-04 08:26:00,2023-02-04 14:03:00
75,76,16,16,otro,El router no logra obtener una dirección IP o autenticarse con la red del proveedor.,resuelto,2023-02-01 21:06:00,2023-02-02 02:04:00
76,77,61,61,otro,El cliente no puede conectar su red privada virtual (VPN) a través del servicio de internet.,resuelto,2023-01-31 21:00:00,2023-02-01 00:30:00
77,78,39,39,otro,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-02-01 23:12:00,2023-02-01 23:27:00
78,79,36,36,hardware,La velocidad de descarga o subida es significativamente menor a la contratada en pruebas de velocidad (speed test).,resuelto,2023-01-29 23:08:00,2023-01-30 01:44:00
79,80,62,62,otro,"El cliente ha modificado accidentalmente la configuración del router o del dispositivo, impidiendo la conexión.",resuelto,2023-01-29 11:51:00,2023-01-29 12:58:00
80,81,9,9,otro,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-02-02 17:48:00,2023-02-02 22:49:00
81,82,45,45,hardware,"Los usuarios no pueden acceder a sitios web por nombre de dominio, pero sí por dirección IP.",resuelto,2023-02-02 16:18:00,2023-02-02 17:07:00
82,83,27,27,otro,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-02-04 04:01:00,2023-02-04 04:25:00
83,84,29,29,software,"Muchos dispositivos conectados simultáneamente en el domicilio del cliente, agotando el ancho de banda disponible.",resuelto,2023-02-11 11:45:00,2023-02-11 15:42:00
84,85,10,10,conectividad,"Los usuarios no pueden acceder a sitios web por nombre de dominio, pero sí por dirección IP.",resuelto,2023-02-10 16:46:00,2023-02-10 19:32:00
85,86,16,16,hardware,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-02-07 19:35:00,2023-02-07 20:57:00
86,87,18,18,hardware,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-02-07 09:46:00,2023-02-07 11:10:00
87,88,57,57,conectividad,"En casas grandes o con muchas paredes, la señal Wi-Fi no llega a todas las habitaciones.",resuelto,2023-02-08 21:47:00,2023-02-08 23:56:00
88,89,57,57,hardware,Daño o sustracción de cables o equipos de red en la infraestructura del proveedor.,resuelto,2023-02-11 15:24:00,2023-02-11 19:37:00
89,90,41,41,conectividad,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-02-10 05:40:00,2023-02-10 10:37:00
90,91,46,46,otro,Interrupción del servicio debido a trabajos de mantenimiento planificados en la red.,resuelto,2023-02-10 16:30:00,2023-02-10 20:43:00
91,92,16,16,otro,El cliente no puede conectar su red privada virtual (VPN) a través del servicio de internet.,resuelto,2023-02-07 18:19:00,2023-02-07 20:23:00
92,93,16,16,otro,Daño o sustracción de cables o equipos de red en la infraestructura del proveedor.,resuelto,2023-02-05 17:33:00,2023-02-05 18:46:00
93,94,22,22,hardware,Interrupción del servicio debido a trabajos de mantenimiento planificados en la red.,resuelto,2023-02-05 13:01:00,2023-02-05 17:17:00
94,95,34,34,otro,"El tiempo de respuesta (ping) a los servidores es muy alto, causando retraso en juegos en línea o videollamadas.",resuelto,2023-02-11 06:01:00,2023-02-11 06:19:00
95,96,45,45,otro,"El cliente ha modificado accidentalmente la configuración del router o del dispositivo, impidiendo la conexión.",resuelto,2023-02-11 01:13:00,2023-02-11 01:29:00
96,97,50,50,conectividad,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-02-06 07:56:00,2023-02-06 11:48:00
97,98,62,62,conectividad,Los dispositivos no pueden conectarse a la red Wi-Fi o la señal es muy débil en ciertas áreas.,resuelto,2023-02-07 22:30:00,2023-02-08 03:40:00
98,99,56,56,conectividad,El cliente activó un filtro parental o de contenido que está bloqueando el acceso a sitios web válidos.,resuelto,2023-02-10 13:02:00,2023-02-10 17:49:00
99,100,36,36,conectividad,"Muchos dispositivos conectados simultáneamente en el domicilio del cliente, agotando el ancho de banda disponible.",resuelto,2023-02-07 01:23:00,2023-02-07 02:42:00
100,101,66,66,hardware,Daño o sustracción de cables o equipos de red en la infraestructura del proveedor.,resuelto,2023-02-08 07:33:00,2023-02-08 08:29:00
101,102,60,60,otro,"En casas grandes o con muchas paredes, la señal Wi-Fi no llega a todas las habitaciones.",resuelto,2023-02-06 18:05:00,2023-02-06 23:57:00
102,103,24,24,software,"En casas grandes o con muchas paredes, la señal Wi-Fi no llega a todas las habitaciones.",resuelto,2023-02-09 11:38:00,2023-02-09 12:12:00
103,104,56,56,hardware,"El cliente ha modificado accidentalmente la configuración del router o del dispositivo, impidiendo la conexión.",resuelto,2023-02-16 22:27:00,2023-02-17 04:18:00
104,105,28,28,software,"Muchos dispositivos conectados simultáneamente en el domicilio del cliente, agotando el ancho de banda disponible.",resuelto,2023-02-13 00:15:00,2023-02-13 02:40:00
105,106,35,35,software,El router no logra obtener una dirección IP o autenticarse con la red del proveedor.,resuelto,2023-02-15 18:22:00,2023-02-15 22:49:00
106,107,64,64,hardware,El router no logra obtener una dirección IP o autenticarse con la red del proveedor.,resuelto,2023-02-12 19:45:00,2023-02-12 22:32:00
107,108,63,63,conectividad,Los dispositivos no pueden conectarse a la red Wi-Fi o la señal es muy débil en ciertas áreas.,resuelto,2023-02-15 10:26:00,2023-02-15 13:39:00
108,109,18,18,hardware,El cliente activó un filtro parental o de contenido que está bloqueando el acceso a sitios web válidos.,resuelto,2023-02-17 10:33:00,2023-02-17 15:39:00
109,110,46,46,hardware,Los dispositivos no pueden conectarse a la red Wi-Fi o la señal es muy débil en ciertas áreas.,resuelto,2023-02-13 03:10:00,2023-02-13 04:11:00
110,111,43,43,hardware,"Muchos dispositivos conectados simultáneamente en el domicilio del cliente, agotando el ancho de banda disponible.",resuelto,2023-02-17 15:29:00,2023-02-17 15:42:00
111,112,25,25,software,Interrupción del servicio debido a trabajos de mantenimiento planificados en la red.,resuelto,2023-02-15 13:22:00,2023-02-15 17:18:00
112,113,52,52,hardware,"El cableado interno (Ethernet, coaxial, fibra) en el domicilio del cliente está visiblemente dañado o desconectado.",resuelto,2023-02-17 07:15:00,2023-02-17 11:11:00
113,114,39,39,hardware,"El tiempo de respuesta (ping) a los servidores es muy alto, causando retraso en juegos en línea o videollamadas.",resuelto,2023-02-18 07:58:00,2023-02-18 10:26:00
114,115,61,61,software,El servidor al que se conecta el cliente está experimentando alta demanda o problemas técnicos.,resuelto,2023-02-13 09:22:00,2023-02-13 12:48:00
115,116,43,43,software,La velocidad de descarga o subida es significativamente menor a la contratada en pruebas de velocidad (speed test).,resuelto,2023-02-15 12:31:00,2023-02-15 16:48:00
116,117,15,15,hardware,El cliente no puede conectar su red privada virtual (VPN) a través del servicio de internet.,resuelto,2023-02-18 22:38:00,2023-02-19 01:47:00
117,118,69,69,hardware,El router no recibe energía debido a un adaptador defectuoso o toma de corriente fallida.,resuelto,2023-02-21 07:42:00,2023-02-21 12:16:00
118,119,66,66,otro,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-02-23 01:02:00,2023-02-23 01:33:00
119,120,10,10,hardware,"En casas grandes o con muchas paredes, la señal Wi-Fi no llega a todas las habitaciones.",resuelto,2023-02-23 13:52:00,2023-02-23 18:37:00
120,121,54,54,conectividad,Daño o sustracción de cables o equipos de red en la infraestructura del proveedor.,resuelto,2023-02-23 20:34:00,2023-02-24 00:49:00
121,122,60,60,software,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-02-19 13:01:00,2023-02-19 18:24:00
122,123,16,16,conectividad,El router no recibe energía debido a un adaptador defectuoso o toma de corriente fallida.,resuelto,2023-02-21 15:54:00,2023-02-21 16:15:00
123,124,61,61,otro,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-02-24 12:07:00,2023-02-24 12:34:00
124,125,33,33,otro,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-02-24 15:55:00,2023-02-24 19:51:00
125,126,43,43,conectividad,"Los usuarios no pueden acceder a sitios web por nombre de dominio, pero sí por dirección IP.",resuelto,2023-02-20 03:40:00,2023-02-20 08:01:00
126,127,15,15,software,El router no recibe energía debido a un adaptador defectuoso o toma de corriente fallida.,resuelto,2023-02-24 06:18:00,2023-02-24 10:41:00
127,128,27,27,software,El servidor al que se conecta el cliente está experimentando alta demanda o problemas técnicos.,resuelto,2023-02-24 02:37:00,2023-02-24 06:52:00
128,129,48,48,software,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-02-24 14:47:00,2023-02-24 18:56:00
129,130,55,55,software,El cliente activó un filtro parental o de contenido que está bloqueando el acceso a sitios web válidos.,resuelto,2023-02-25 01:04:00,2023-02-25 05:07:00
130,131,25,25,otro,El router no recibe energía debido a un adaptador defectuoso o toma de corriente fallida.,resuelto,2023-02-22 05:49:00,2023-02-22 06:36:00
131,132,10,10,otro,Daño o sustracción de cables o equipos de red en la infraestructura del proveedor.,resuelto,2023-02-27 23:00:00,2023-02-28 04:49:00
132,133,58,58,hardware,"El cableado interno (Ethernet, coaxial, fibra) en el domicilio del cliente está visiblemente dañado o desconectado.",resuelto,2023-03-01 15:10:00,2023-03-01 17:32:00
133,134,22,22,software,Daño o sustracción de cables o equipos de red en la infraestructura del proveedor.,resuelto,2023-03-04 19:41:00,2023-03-05 01:16:00
134,135,36,36,software,"Muchos dispositivos conectados simultáneamente en el domicilio del cliente, agotando el ancho de banda disponible.",resuelto,2023-03-02 04:03:00,2023-03-02 05:48:00
135,136,18,18,hardware,El servidor al que se conecta el cliente está experimentando alta demanda o problemas técnicos.,resuelto,2023-03-01 18:01:00,2023-03-01 23:54:00
136,137,43,43,conectividad,Los dispositivos no pueden conectarse a la red Wi-Fi o la señal es muy débil en ciertas áreas.,resuelto,2023-03-02 19:38:00,2023-03-02 22:28:00
137,138,59,59,conectividad,"El tiempo de respuesta (ping) a los servidores es muy alto, causando retraso en juegos en línea o videollamadas.",resuelto,2023-03-02 00:13:00,2023-03-02 00:44:00
138,139,28,28,otro,El cliente no puede conectar su red privada virtual (VPN) a través del servicio de internet.,resuelto,2023-02-26 07:45:00,2023-02-26 10:08:00
139,140,22,22,conectividad,El cliente activó un filtro parental o de contenido que está bloqueando el acceso a sitios web válidos.,resuelto,2023-03-04 13:28:00,2023-03-04 14:06:00
140,141,7,7,software,Daño o sustracción de cables o equipos de red en la infraestructura del proveedor.,resuelto,2023-03-02 06:22:00,2023-03-02 08:29:00
141,142,8,8,conectividad,"El tiempo de respuesta (ping) a los servidores es muy alto, causando retraso en juegos en línea o videollamadas.",resuelto,2023-03-04 18:41:00,2023-03-05 00:00:00
142,143,56,56,software,"El tiempo de respuesta (ping) a los servidores es muy alto, causando retraso en juegos en línea o videollamadas.",resuelto,2023-03-03 00:58:00,2023-03-03 02:41:00
143,144,18,18,hardware,El cliente no tiene acceso a internet no hay luz en el router o el LED de internet está apagado. No se detecta señal en el ONT/Módem.,resuelto,2023-03-01 00:04:00,2023-03-01 03:12:00
144,145,35,35,software,El cliente no tiene acceso a internet no hay luz en el router o el LED de internet está apagado. No se detecta señal en el ONT/Módem.,resuelto,2023-02-27 09:00:00,2023-02-27 11:27:00
145,146,53,53,software,Los dispositivos no pueden conectarse a la red Wi-Fi o la señal es muy débil en ciertas áreas.,resuelto,2023-03-01 10:22:00,2023-03-01 14:31:00
146,147,33,33,otro,"El cliente no puede acceder a una o varias páginas web o servicios en línea, mientras que otros funcionan con normalidad.",resuelto,2023-02-27 13:51:00,2023-02-27 16:03:00
147,148,16,16,conectividad,Los dispositivos no pueden conectarse a la red Wi-Fi o la señal es muy débil en ciertas áreas.,resuelto,2023-02-26 20:54:00,2023-02-26 23:34:00
148,149,43,43,software,"Los usuarios no pueden acceder a sitios web por nombre de dominio, pero sí por dirección IP.",resuelto,2023-03-01 14:45:00,2023-03-01 17:27:00
149,150,36,36,conectividad,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-03-07 09:02:00,2023-03-07 13:38:00
150,151,33,33,software,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-03-09 14:10:00,2023-03-09 17:35:00
151,152,43,43,otro,Interrupción del servicio debido a trabajos de mantenimiento planificados en la red.,resuelto,2023-03-08 02:46:00,2023-03-08 07:00:00
152,153,31,31,otro,La velocidad de descarga o subida es significativamente menor a la contratada en pruebas de velocidad (speed test).,resuelto,2023-03-10 17:49:00,2023-03-10 23:16:00
153,154,65,65,otro,El cliente activó un filtro parental o de contenido que está bloqueando el acceso a sitios web válidos.,resuelto,2023-03-08 19:55:00,2023-03-08 23:47:00
154,155,7,7,conectividad,Daño o sustracción de cables o equipos de red en la infraestructura del proveedor.,resuelto,2023-03-07 08:57:00,2023-03-07 14:47:00
155,156,3,3,hardware,"Los usuarios no pueden acceder a sitios web por nombre de dominio, pero sí por dirección IP.",resuelto,2023-03-07 12:59:00,2023-03-07 17:58:00
156,157,4,4,otro,"El cliente no puede acceder a una o varias páginas web o servicios en línea, mientras que otros funcionan con normalidad.",resuelto,2023-03-11 19:11:00,2023-03-11 21:00:00
157,158,18,18,hardware,El servidor al que se conecta el cliente está experimentando alta demanda o problemas técnicos.,resuelto,2023-03-07 00:22:00,2023-03-07 03:59:00
158,159,19,19,software,El cliente no puede conectar su red privada virtual (VPN) a través del servicio de internet.,resuelto,2023-03-05 15:46:00,2023-03-05 18:11:00
159,160,28,28,hardware,El equipo del cliente requiere una actualización de firmware o software para un rendimiento óptimo.,resuelto,2023-03-10 18:09:00,2023-03-10 19:04:00
160,161,63,63,hardware,El router no logra obtener una dirección IP o autenticarse con la red del proveedor.,resuelto,2023-03-11 05:39:00,2023-03-11 07:58:00
161,162,53,53,conectividad,"El cableado interno (Ethernet, coaxial, fibra) en el domicilio del cliente está visiblemente dañado o desconectado.",resuelto,2023-03-05 06:57:00,2023-03-05 11:17:00
162,163,8,8,hardware,Interrupción del servicio debido a trabajos de mantenimiento planificados en la red.,resuelto,2023-03-05 14:47:00,2023-03-05 20:40:00
163,164,32,32,hardware,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-03-05 10:53:00,2023-03-05 12:35:00
164,165,6,6,otro,El router no recibe energía debido a un adaptador defectuoso o toma de corriente fallida.,resuelto,2023-03-09 16:00:00,2023-03-09 19:15:00
165,166,38,38,otro,"Los usuarios no pueden acceder a sitios web por nombre de dominio, pero sí por dirección IP.",resuelto,2023-03-06 14:53:00,2023-03-06 20:15:00
166,167,30,30,otro,"El equipo provisto por la empresa (router, ONT) presenta luces de error, no enciende o no distribuye IP.",resuelto,2023-03-14 03:11:00,2023-03-14 03:34:00
167,168,28,28,otro,"El cableado interno (Ethernet, coaxial, fibra) en el domicilio del cliente está visiblemente dañado o desconectado.",resuelto,2023-03-14 22:24:00,2023-03-14 23:26:00
168,169,37,37,software,"Los usuarios no pueden acceder a sitios web por nombre de dominio, pero sí por dirección IP.",resuelto,2023-03-16 16:16:00,2023-03-16 17:39:00
